2025-03-14 09:19:11.461 INFO  - 登录日志: traceId = TRACE-4-1741915151461-03cf, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 09:22:04.005 INFO  - 登录日志: traceId = 4-1741915324005-2a12, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 09:22:31.772 INFO  - 登录日志: traceId = 5e0e5d59-82c6-411a-99b9-f3be246f0cf0, 用户标识 = GUEST(1243), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = false
2025-03-14 09:24:37.938 INFO  - 登录日志: traceId = dbe935ba-d5cf-4bfd-ad3a-c7a13fcb954b, 用户标识 = GUEST(), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = false
2025-03-14 09:40:29.373 INFO  - 登录日志: traceId = 4-1741916429373-8cf3, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 10:39:26.435 INFO  - 登录日志: traceId = 4-1741919966435-bb1c, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 11:12:25.717 INFO  - 登录日志: traceId = 42c4da73-e011-45d5-9995-7f874a376c05, 用户标识 = GUEST(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = false
2025-03-14 11:12:30.134 INFO  - 登录日志: traceId = 4-1741921950134-127f, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 11:25:34.532 INFO  - 登录日志: traceId = 4-1741922734532-0612, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 11:27:02.450 INFO  - 登录日志: traceId = 4-1741922822450-4dec, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 11:35:13.660 INFO  - 登录日志: traceId = 4-1741923313660-775e, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 12:28:50.361 INFO  - 登录日志: traceId = 4-1741926530361-3755, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 12:33:22.313 INFO  - 登录日志: traceId = 4-1741926802313-b711, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 13:21:31.981 INFO  - 登录日志: traceId = 4-1741929691981-d178, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 13:26:24.763 INFO  - 登录日志: traceId = 4-1741929984763-9bd4, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 13:26:51.062 INFO  - 登录日志: traceId = 4-1741930011061-7193, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 13:27:50.147 INFO  - 登录日志: traceId = 4-1741930070147-adcf, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 13:33:35.079 INFO  - 登录日志: traceId = 4-1741930415078-6180, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 13:39:52.404 INFO  - 登录日志: traceId = 4-1741930792404-672e, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 13:41:10.663 INFO  - 登录日志: traceId = 4-1741930870663-83e1, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 13:42:50.226 INFO  - 登录日志: traceId = 4-1741930970226-85d1, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
2025-03-14 14:00:15.140 INFO  - 登录日志: traceId = 4-1741932015140-47b6, 用户标识 = 4(123), 客户端信息 = 0:0:0:0:0:0:0:1(0:0:0:0:0:0:0:1), 登录结果 = true
